,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
300,8856130,地图研发工程师 C++,15k-30k,163210,斑马网络技术有限公司,https://www.lagou.com/jobs/8856130.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/0f0598c24b72a4f900a8f80b1dde42de1adb63904e55b70e.html,"移动互联网,硬件 / 不需要融资 / 500-2000人",“undefined”
301,8856098,分布式文件系统 C++开发工程师,15k-30k,163210,斑马网络技术有限公司,https://www.lagou.com/jobs/8856098.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/37d9be0f8b06d3f2ebf12e060694d9cee98b1618be7d2f75.html,"移动互联网,硬件 / 不需要融资 / 500-2000人",“福利待遇好”
302,8919828,机构应用测试工程师（武汉）,15k-25k,67217,招商证券,https://www.lagou.com/jobs/8919828.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/8f2c6589a9f154869675f4384524e1ccb78d2b77d14b33b1.html,金融业 / 上市公司 / 2000人以上,“央企 头部券商 金融科技”
303,8950271,java工程师,12k-24k,26088,深圳市丰巢网络技术有限公司,https://www.lagou.com/jobs/8950271.html?show=18e8073f7d404fca98852914081537ff,2021-06-09,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/c0fd306cf8ae40f18eb463887aabc304bd91c39aa74e736a.html,"物联网,物流平台,电商平台 / B轮 / 2000人以上",“年终奖金、五险一金、通讯津贴、餐费补贴”
304,8421970,算法交易岗,15k-25k,136331,第一创业证券,https://www.lagou.com/jobs/8421970.html?show=18e8073f7d404fca98852914081537ff,2021-06-07,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/560b5b62e8babd9dbf194ee8b5a90c2083b7ab27076a34de.html,金融业 / 上市公司 / 2000人以上,“券商总部，上市公司”
305,7758725,数据开发岗-武汉研发中心（筹）,15k-25k,136331,第一创业证券,https://www.lagou.com/jobs/7758725.html?show=18e8073f7d404fca98852914081537ff,2021-06-07,,,经验3-5年 / 不限,https://www.lagou.com/gongsi/v1/1d0e9360e140462691fd222cf042fb82323116567e28cac7.html,金融业 / 上市公司 / 2000人以上,"“工作氛围好,发展空间大,奖金丰厚,知识分”"
306,8940630,数据开发工程师,17k-21k,67217,招商证券,https://www.lagou.com/jobs/8940630.html?show=18e8073f7d404fca98852914081537ff,2021-06-08,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/5ea31bac69b591ba37d615e35d59f0ed8f27901d36e3bf39.html,金融业 / 上市公司 / 2000人以上,“头部券商”
307,7637753,大数据开发工程师,20k-30k,75863,石墨文档,https://www.lagou.com/jobs/7637753.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/04cd5ab5838404fd4aa69945a0df38145329ad9c60c4c6a6.html,工具类产品 / B轮 / 150-500人,“大牛云集、扁平化管理、待遇优厚、弹性上班”
308,8907638,dba工程师,15k-30k,124770,CDS,https://www.lagou.com/jobs/8907638.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/2f7b8cf73e7237d23293b4bec476303eb6eb97d80d0d2b87.html,数据服务｜咨询 / 上市公司 / 150-500人,“上市公司 弹性工作制”
309,8970634,后台开发,17k-28k,121847946,金磁石,https://www.lagou.com/jobs/8970634.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/47a047ea660abfb5461332f6024467e6928f647a63e53dd901dafb33da6d5063.html,企业服务 / 不需要融资 / 50-150人,“【腾讯】后台开发”
310,8966250,测试开发工程师,12k-24k,121855772,新大瀚人力资源管理,https://www.lagou.com/jobs/8966250.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/4efc74d9f388c393374d04fe29e7ba3dbfbfb8609fc63f34b13c3353c1ed745f.html,其他 / 不需要融资 / 2000人以上,“大厂 高薪”
311,6178115,高级运维开发工程师,15k-28k,492169,融智盛维,https://www.lagou.com/jobs/6178115.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/b96eca22f5e2ec407a78d8f3a8c1133bdf774265c6ab23d2.html,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 50-150人",“周末双休 入职五险一金 各种福利”
